GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP,Line_Number
0.2294735610485077,0.4878142476081848,0.1823816001415252,2023-10-20T11:45:23.821271Z,1697802323821,180
0.2343956083059311,0.5112271904945374,0.1954183578491211,2023-10-20T11:45:23.829552Z,1697802323829,181
0.2389185577630996,0.5323786735534668,0.2061936408281326,2023-10-20T11:45:23.840703Z,1697802323840,182
0.2433084845542907,0.552332878112793,0.2155055999755859,2023-10-20T11:45:23.853137Z,1697802323853,183
0.2466342002153396,0.5712229013442993,0.2241524308919906,2023-10-20T11:45:23.860500Z,1697802323860,184
0.2487626373767852,0.5890486836433411,0.2325332164764404,2023-10-20T11:45:23.870426Z,1697802323870,185
0.2503589689731598,0.6056771874427795,0.2403818666934967,2023-10-20T11:45:23.880589Z,1697802323880,186
0.2522213757038116,0.6209754347801208,0.2475653886795044,2023-10-20T11:45:23.889895Z,1697802323889,187
0.2547489106655121,0.6349433660507202,0.2536846995353699,2023-10-20T11:45:23.904520Z,1697802323904,188
0.2566113173961639,0.6463837623596191,0.2596709430217743,2023-10-20T11:45:23.910156Z,1697802323910,189
0.2552810311317444,0.6534342765808105,0.2677856683731079,2023-10-20T11:45:23.921682Z,1697802323921,190
0.2486296147108078,0.6547645926475525,0.2800242602825165,2023-10-20T11:45:23.930834Z,1697802323930,191
0.2373222261667251,0.6499755382537842,0.2969188392162323,2023-10-20T11:45:23.942333Z,1697802323942,192
0.2225560992956161,0.6399984359741211,0.3180703222751617,2023-10-20T11:45:23.953155Z,1697802323953,193
0.2053954601287841,0.625498354434967,0.3422814309597015,2023-10-20T11:45:23.962298Z,1697802323962,194
0.1854412406682968,0.6071404814720154,0.367290735244751,2023-10-20T11:45:23.970687Z,1697802323970,195
0.1634915918111801,0.5862550735473633,0.3897724747657776,2023-10-20T11:45:23.981797Z,1697802323981,196
0.1411428749561309,0.5644384622573853,0.4066670536994934,2023-10-20T11:45:23.991097Z,1697802323991,197
0.1197253391146659,0.5438190698623657,0.4165111482143402,2023-10-20T11:45:24.004171Z,1697802324004,198
0.0985738635063171,0.5249291062355042,0.4191717207431793,2023-10-20T11:45:24.011713Z,1697802324011,199
0.0756930187344551,0.5071033239364624,0.4153138995170593,2023-10-20T11:45:24.022644Z,1697802324022,200
0.0517479516565799,0.4899426698684692,0.4048046767711639,2023-10-20T11:45:24.031761Z,1697802324031,201
0.0275368280708789,0.473846286535263,0.3877770602703094,2023-10-20T11:45:24.043049Z,1697802324042,202
0.0038578163366764,0.4586810767650604,0.3644971251487732,2023-10-20T11:45:24.053600Z,1697802324053,203
-0.0195551384240388,0.4451121985912323,0.3350979089736938,2023-10-20T11:45:24.063289Z,1697802324063,204
-0.0407066158950328,0.4343369305133819,0.3007766604423523,2023-10-20T11:45:24.072477Z,1697802324072,205
-0.0570690780878067,0.4276854991912842,0.2637948393821716,2023-10-20T11:45:24.085406Z,1697802324085,206
-0.0686425268650055,0.4243597984313965,0.2277441918849945,2023-10-20T11:45:24.092890Z,1697802324092,207
-0.0787526667118072,0.4213001430034637,0.1959504634141922,2023-10-20T11:45:24.102895Z,1697802324102,208
-0.0920554846525192,0.4149148166179657,0.1716063171625137,2023-10-20T11:45:24.113065Z,1697802324113,209
-0.1106794252991676,0.4024101495742798,0.1564411073923111,2023-10-20T11:45:24.124686Z,1697802324124,210
-0.1336932927370071,0.3823229074478149,0.1507208943367004,2023-10-20T11:45:24.137211Z,1697802324137,211
-0.1592347025871276,0.3538548946380615,0.1529823690652847,2023-10-20T11:45:24.144275Z,1697802324144,212
-0.1850421577692031,0.3180703222751617,0.1604319512844085,2023-10-20T11:45:24.153604Z,1697802324153,213
-0.2095193415880203,0.277762770652771,0.1709411740303039,2023-10-20T11:45:24.164509Z,1697802324164,214
-0.2317350357770919,0.2371891885995865,0.1831797659397125,2023-10-20T11:45:24.173796Z,1697802324173,215
-0.2508910894393921,0.1999413073062896,0.1975468099117279,2023-10-20T11:45:24.186705Z,1697802324186,216
-0.2664553821086883,0.1681475788354873,0.2145744115114212,2023-10-20T11:45:24.194320Z,1697802324194,217
-0.277762770652771,0.1418080031871795,0.2347946912050247,2023-10-20T11:45:24.205181Z,1697802324205,218
-0.2864096164703369,0.1185280829668045,0.2580746114253998,2023-10-20T11:45:24.214263Z,1697802324214,219
-0.2950564324855804,0.0941839292645454,0.2830839157104492,2023-10-20T11:45:24.225977Z,1697802324225,220
-0.3068959414958954,0.0638535097241401,0.30796018242836,2023-10-20T11:45:24.236924Z,1697802324236,221
-0.3251208066940307,0.0223487298935651,0.3301758766174316,2023-10-20T11:45:24.245842Z,1697802324245,222
-0.3522585332393646,-0.0348533764481544,0.3450750410556793,2023-10-20T11:45:24.255293Z,1697802324255,223
-0.389107346534729,-0.1102803349494934,0.3472034633159637,2023-10-20T11:45:24.270436Z,1697802324270,224
-0.4347360134124756,-0.2028679251670837,0.3320382535457611,2023-10-20T11:45:24.274946Z,1697802324274,225
-0.4883463382720947,-0.3088913559913635,0.2981160879135132,2023-10-20T11:45:24.287255Z,1697802324287,226
-0.5480759739875793,-0.4223643839359283,0.2466342002153396,2023-10-20T11:45:24.295857Z,1697802324295,227
-0.6100671291351318,-0.5363695025444031,0.1802531480789184,2023-10-20T11:45:24.306836Z,1697802324306,228
-0.6697967648506165,-0.644122302532196,0.103628933429718,2023-10-20T11:45:24.319957Z,1697802324319,229
-0.7240722179412842,-0.7399025559425354,0.0231468975543975,2023-10-20T11:45:24.326371Z,1697802324326,230
-0.7720953822135925,-0.8210497498512268,-0.0549406260251998,2023-10-20T11:45:24.336456Z,1697802324336,231
-0.8141322731971741,-0.8871647715568542,-0.1257116049528122,2023-10-20T11:45:24.346879Z,1697802324346,232
-0.8497838377952576,-0.9394447803497314,-0.1858403235673904,2023-10-20T11:45:24.356658Z,1697802324356,233
-0.8777197599411011,-0.9785550832748412,-0.2335974276065826,2023-10-20T11:45:24.370507Z,1697802324370,234
-0.8979400396347046,-1.0070230960845947,-0.2675196230411529,2023-10-20T11:45:24.376728Z,1697802324376,235
-0.911907970905304,-1.028174638748169,-0.2874738276004791,2023-10-20T11:45:24.387445Z,1697802324387,236
-0.922816276550293,-1.0474636554718018,-0.2938591837882995,2023-10-20T11:45:24.396845Z,1697802324396,237
-0.9345227479934692,-1.0715417861938477,-0.2888041138648987,2023-10-20T11:45:24.408004Z,1697802324407,238
-0.9515503644943236,-1.1073263883590698,-0.2759003937244415,2023-10-20T11:45:24.420354Z,1697802324420,239
-0.977224826812744,-1.159739375114441,-0.259537935256958,2023-10-20T11:45:24.427927Z,1697802324427,240
-1.0114130973815918,-1.2289140224456787,-0.2434415221214294,2023-10-20T11:45:24.437014Z,1697802324436,241
-1.0517206192016602,-1.3107264041900637,-0.2306708097457885,2023-10-20T11:45:24.448425Z,1697802324448,242
-1.0949547290802002,-1.3973276615142822,-0.2218909561634063,2023-10-20T11:45:24.457526Z,1697802324457,243
-1.1395190954208374,-1.4816675186157229,-0.2157716602087021,2023-10-20T11:45:24.470393Z,1697802324470,244
-1.1839505434036257,-1.5580257177352903,-0.2100514471530914,2023-10-20T11:45:24.478436Z,1697802324478,245
-1.225056290626526,-1.621480107307434,-0.2035330682992935,2023-10-20T11:45:24.488679Z,1697802324488,246
-1.2585793733596802,-1.6689711809158323,-0.1966156065464019,2023-10-20T11:45:24.497844Z,1697802324497,247
